2016-06-07 23:16:12 status installed libssl-dev:amd64 1.0.1t-1+deb8u2
2016-06-07 23:16:12 configure libidn11:amd64 1.29-1+deb8u1 <ninguna>
2016-06-07 23:16:12 status unpacked libidn11:amd64 1.29-1+deb8u1
2016-06-07 23:16:12 status half-configured libidn11:amd64 1.29-1+deb8u1
2016-06-07 23:16:12 status installed libidn11:amd64 1.29-1+deb8u1
2016-06-07 23:16:12 configure libtasn1-6:amd64 4.2-3+deb8u2 <ninguna>
2016-06-07 23:16:12 status unpacked libtasn1-6:amd64 4.2-3+deb8u2
2016-06-07 23:16:12 status half-configured libtasn1-6:amd64 4.2-3+deb8u2
2016-06-07 23:16:12 status installed libtasn1-6:amd64 4.2-3+deb8u2
2016-06-07 23:16:12 configure libxml2:amd64 2.9.1+dfsg1-5+deb8u2 <ninguna>
2016-06-07 23:16:12 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u2
2016-06-07 23:16:12 status half-configured libxml2:amd64 2.9.1+dfsg1-5+deb8u2
2016-06-07 23:16:12 status installed libxml2:amd64 2.9.1+dfsg1-5+deb8u2
2016-06-07 23:16:12 configure libexpat1:amd64 2.1.0-6+deb8u3 <ninguna>
2016-06-07 23:16:12 status unpacked libexpat1:amd64 2.1.0-6+deb8u3
2016-06-07 23:16:12 status half-configured libexpat1:amd64 2.1.0-6+deb8u3
2016-06-07 23:16:12 status installed libexpat1:amd64 2.1.0-6+deb8u3
2016-06-07 23:16:12 configure libexpat1-dev:amd64 2.1.0-6+deb8u3 <ninguna>
2016-06-07 23:16:12 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u3
2016-06-07 23:16:12 status half-configured libexpat1-dev:amd64 2.1.0-6+deb8u3
2016-06-07 23:16:12 status installed libexpat1-dev:amd64 2.1.0-6+deb8u3
2016-06-07 23:16:12 configure libgd3:amd64 2.1.0-5+deb8u3 <ninguna>
2016-06-07 23:16:12 status unpacked libgd3:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:12 status half-configured libgd3:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:12 status installed libgd3:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:12 configure libgd-dev:amd64 2.1.0-5+deb8u3 <ninguna>
2016-06-07 23:16:12 status unpacked libgd-dev:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:12 status half-configured libgd-dev:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:12 status installed libgd-dev:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:12 configure libgd2-xpm-dev:amd64 2.1.0-5+deb8u3 <ninguna>
2016-06-07 23:16:12 status unpacked libgd2-xpm-dev:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:12 status half-configured libgd2-xpm-dev:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:12 status installed libgd2-xpm-dev:amd64 2.1.0-5+deb8u3
2016-06-07 23:16:12 configure libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u5 <ninguna>
2016-06-07 23:16:12 status unpacked libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u5
2016-06-07 23:16:12 status half-configured libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u5
